Nome,Ano de entrada em operação,Tensão (kV),Agente,OBJECTID,Longitude,Latitude,x,y
SE Santo Angelo 2,-,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,391,-54.285773,-28.303457,-54.28577299999995,-28.303456998999934
SE Santo Antônio de Jesus,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,392,-39.2206271,-12.97277826,-39.220627096999976,-12.972778263999942
SE São Borja 2,-,230/69/23,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,393,-55.99625585,-28.69036367,-55.996255847999976,-28.690363671999933
SE São Gonçalo do Pará,1998,500/138,CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A,394,-44.84088634,-20.07318459,-44.84088633699997,-20.07318459299995
SE São Gotardo 2,-,500/345/138,CEMIG - Companhia Energética de Minas Gerais,395,-46.01456146,-19.33750522,-46.01456145999998,-19.337505223999926
SE São João do Piauí,-,500/230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,396,-42.22900407,-8.35814509,-42.229004069999974,-8.358145092999962
SE São José,1993,500/138,FURNAS - Furnas Centrais Elétricas S.A.,397,-43.33228157,-22.74863135,-43.33228157099995,-22.748631350999972
SE São José dos Campos,-,230/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,398,-45.88962307,-23.201825,-45.889623073999985,-23.201825003999943
SE São Luis II,-,"500/230/18,3",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,399,-44.31669729,-2.71668236,-44.316697285999965,-2.716682356999968
SE São Mateus do Sul,-,"230/34,5",COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,400,-50.40201576,-25.85341727,-50.40201575599997,-25.85341726799993
SE São Simão,-,500,CEMIG - Companhia Energética de Minas Gerais,401,-50.491821,-19.022095,-50.49182099999996,-19.022094998999933
SE São Vicente do Sul,-,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,402,-54.6971603,-29.69521568,-54.697160301999986,-29.69521568199997
SE Sapeaçu,2003,500/230,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,403,-39.18545167,-12.71716086,-39.18545167399998,-12.717160864999926
SE Sarandi,2006,230/138,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,404,-51.82683486,-23.44338671,-51.82683485699994,-23.44338671299994
SE Scharlau,-,230/138/69/23,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,405,-51.14872902,-29.71747199,-51.14872902299993,-29.717471993999936
SE Senhor do Bonfim II,-,230/138/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,406,-40.188,-10.444,-40.18799999999993,-10.44399999999996
SE UHE Serra da Mesa,1998,500/230/138,FURNAS - Furnas Centrais Elétricas S.A.,407,-48.30045957,-13.82690829,-48.30045956699996,-13.826908291999928
SE Serra da Mesa 2,2008,500,INTESA - INTEGRAÇAO TRANSMISSORA DE ENERGIA S.A,408,-48.046387,-13.765503,-48.04638699999998,-13.765502999999967
SE Sete Lagoas 4,2014,345/138,SETE LAGOAS - SETE LAGOAS TRANSMISSORA DE ENERGIA LTDA,409,-44.32477411,-19.51766877,-44.324774107999986,-19.517668769999943
SE Siderópolis,-,230/69,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,410,-49.41119385,-28.60229492,-49.41119384799998,-28.602294920999952
SE Sidrolândia 2,2010,230/138,BRILHANTE - Brilhante Transmissora de Energia Ltda,411,-54.92593926,-20.89489774,-54.92593925999995,-20.894897742999945
SE Silves,2013,500/138/20,MANAUS TR - MANAUS TRANSMISSORA DE ENERGIA S.A,412,-58.2751023,-2.70885148,-58.27510229899997,-2.708851481999943
SE Sobradinho,1979,500/230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,413,-40.82781937,-9.43620761,-40.82781936599997,-9.43620760999994
SE Sobral II,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,414,-40.3821959,-3.69990151,-40.38219589899995,-3.69990151199994
SE Sobral III,-,500/230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,415,-40.2985991,-3.69142208,-40.29859910299996,-3.6914220799999384
SE Sorriso,-,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,416,-55.76318814,-12.57505558,-55.763188138999965,-12.575055577999933
SE Suape II,2012,500/230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,417,-35.04695838,-8.39017163,-35.04695837999998,-8.390171634999945
SE Samambaia,1998,500/345/138,FURNAS - Furnas Centrais Elétricas S.A.,418,-48.17255086,-15.9250873,-48.17255086299997,-15.925087296999948
SE Sul,-,345/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,419,-46.52100683,-23.69937923,-46.52100682599996,-23.69937922899993
SE Sumaré,-,"440/138/13,8",CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,420,-47.28673417,-22.8669339,-47.28673416899994,-22.86693390099998
SE Taguaruçu,1992,440/138,DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema,421,-52.00091246,-22.53862913,-52.000912461999974,-22.538629125999933
SE Tapajós 2,2020,230/138,EQUATORIAL 8 - EQUATORIAL TRANSMISSORA DE ENERGIA 8 SPE,422,-54.67563041,-2.61660788,-54.675630410999986,-2.616607882999972
SE Tapera 2,2005,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,423,-52.8645198,-28.66697564,-52.864519798999936,-28.666975642999944
SE Taquara,-,"230/138/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,424,-50.79482661,-29.65589484,-50.79482661099996,-29.655894837999938
SE Taquaril,1976,345/230/138,CEMIG - Companhia Energética de Minas Gerais,425,-43.85208228,-19.93126393,-43.85208228099998,-19.931263930999933
